0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Z-Curve_X,Z-Curve_Y,Z-Curve_Z,gcContent,AT/GC,GC skew,AT skew,label
0.011009709,0.005165573,0.007069168,0.00910391,0.006583574,0.004962477,0.000983102,0.006195224,0.007330989,0.005004881,0.005878142,0.005086775,0.006777355,0.005059433,0.006871609,0.009384151,0.006482288,0.003515088,0.006524219,0.007331015,0.006203096,0.004430333,0.003841826,0.005267646,0.001787457,0.003384466,0.002943479,0.001187431,0.004646418,0.005162293,0.007215928,0.006418525,0.007418263,0.004111152,0.006481029,0.005443742,0.005183626,0.005305379,0.003020939,0.004475702,0.007083915,0.004260299,0.003806875,0.002861165,0.003926633,0.003379612,0.003402467,0.00538137,0.007485437,0.005472448,0.003123458,0.006290475,0.006091971,0.004846235,0.001461454,0.007891629,0.007139334,0.005115088,0.005413015,0.007023144,0.00690921,0.006418525,0.007570401,0.01387195,167,-101,433,44.32205612,0.079289941,0.015544041,1.256213018,1
0.001137793,0.002840134,0.004449498,0.000386789,0.005292977,0.008433445,0.003075652,0.004342977,0.004783211,0.009226957,0.00518689,0.003298629,0.000902508,0.005264214,0.003639866,0.001182943,0.003614716,0.008565217,0.010366087,0.007106689,0.010673579,0.011024749,0.007461672,0.012219565,0.003189565,0.007111906,0.006812308,0.003376221,0.002500502,0.009265385,0.012340669,0.007778595,0.003448361,0.006493043,0.006723746,0.002502408,0.008315652,0.011658863,0.006417391,0.009430134,0.006051371,0.009971639,0.004771304,0.003449666,0.001023712,0.003143378,0.00739214,0.001976321,0.000773579,0.002763712,0.000682475,0.001182943,0.00565903,0.009668227,0.003609064,0.006303344,0.005346054,0.008731605,0.007490702,0.004068896,0.000920067,0.007644482,0.002325084,0.003214716,-150,68,-770,62.86764706,-0.0579479,-0.03690369,0.590643275,1
0.003841463,0.003922764,0.006373868,0.003134146,0.005603949,0.007207317,0.001879036,0.005027294,0.005504704,0.00850511,0.00475331,0.004542567,0.00089547,0.005484321,0.006616347,0.002510453,0.006948897,0.007893728,0.008109524,0.007426684,0.010296167,0.009921603,0.004858537,0.012357433,0.002571312,0.004352439,0.003171429,0.001920412,0.002627904,0.009209785,0.014251481,0.00558885,0.00540813,0.005538211,0.007255052,0.003851307,0.008109524,0.009615854,0.003085714,0.008591318,0.007171661,0.006257143,0.003791289,0.002994919,0.000987515,0.004245122,0.008043496,0.002523229,0.001231272,0.00171385,0.001086266,0.001483449,0.006398374,0.010025842,0.002223635,0.006520325,0.00681385,0.009703136,0.008556911,0.00716597,0.001027003,0.005938153,0.00353252,0.003953833,-72,62,-512,57.42890308,-0.033855483,-0.003408316,0.741283477,1
0.00476781,0.00377154,0.005140558,0.003835139,0.004800142,0.00734944,0.002178291,0.004613786,0.005967774,0.006595381,0.0054593,0.004531444,0.001986054,0.005173033,0.005498152,0.004887191,0.004868716,0.007769408,0.009257737,0.006361432,0.010149227,0.010640966,0.003344182,0.011269675,0.001996767,0.002724889,0.002622135,0.00265914,0.003285575,0.00920119,0.010141837,0.008619826,0.00472695,0.004477598,0.006326665,0.004410606,0.006292841,0.007183798,0.002045266,0.006740611,0.006020537,0.005716255,0.004768129,0.004502434,0.001872997,0.00525644,0.005758927,0.004446118,0.003218778,0.002586516,0.001691739,0.003002132,0.007479925,0.00970048,0.002535459,0.009118494,0.005981506,0.00655509,0.008167206,0.005804654,0.003351217,0.008833541,0.005557648,0.009889767,-345,-101,-377,53.3475404,-0.040612517,-0.084887705,0.874500666,1
0.014964023,0.00527608,0.00724815,0.01118472,0.0056245,0.003708833,0.000834481,0.006393424,0.007677034,0.003864965,0.003147905,0.005701225,0.009246035,0.005124887,0.008157137,0.012365184,0.00642089,0.003658027,0.004919046,0.007154545,0.005182205,0.002540039,0.000629323,0.005902128,0.000702721,0.000449516,0.000570986,0.001077292,0.003957834,0.004607801,0.006957511,0.009669504,0.007762811,0.002723043,0.003851554,0.006095925,0.003733204,0.00247234,0.000647118,0.004398943,0.003888588,0.001827157,0.001558994,0.002698092,0.004517124,0.003231876,0.004180142,0.006723404,0.009444874,0.004617473,0.004253991,0.01074352,0.007814184,0.005280851,0.000673308,0.008790458,0.008157137,0.004892701,0.00471216,0.009412766,0.011351644,0.009255835,0.00797844,0.021690522,-181,-467,2243,35.54209101,0.051867972,-0.0648,1.81356547,1
0.008456,0.004117333,0.006011437,0.006682,0.007376889,0.005311704,0.002422044,0.004955185,0.007243289,0.005853274,0.005573807,0.004736207,0.004911556,0.005246667,0.006953156,0.006870222,0.005718519,0.006304,0.0081744,0.008394667,0.007237926,0.006074667,0.002995378,0.008089481,0.001766074,0.002478933,0.002624,0.002269096,0.003556074,0.006721407,0.009488948,0.006534815,0.005863615,0.005146844,0.005871644,0.004383511,0.006862459,0.006300622,0.002274133,0.005827452,0.005403615,0.004766933,0.003331467,0.003667378,0.002972726,0.0041772,0.0047152,0.005458607,0.005254222,0.004139037,0.003325422,0.004890667,0.007345333,0.006245556,0.001495541,0.007960593,0.00690277,0.007735556,0.005632044,0.006746015,0.006229778,0.006534815,0.006025067,0.011985333,-8,-100,300,47.77843602,0.014259144,-0.015314804,1.09299442,1
0.002015232,0.004409749,0.005636215,0.001688214,0.00543869,0.006976771,0.002334653,0.005244669,0.007346078,0.00875495,0.007218279,0.003626352,0.00124781,0.004420506,0.005763309,0.002544174,0.005953161,0.006976771,0.010830198,0.005169745,0.009452399,0.010715918,0.003650609,0.013148896,0.001945545,0.003451485,0.003316222,0.001988385,0.00352142,0.009785225,0.014780331,0.004581112,0.005319573,0.005447525,0.008804113,0.005115746,0.008106436,0.009624334,0.002754151,0.009014014,0.008093222,0.007250724,0.00575495,0.003983949,0.001100857,0.00410933,0.006452875,0.002184082,0.000513804,0.002697258,0.001424638,0.002095202,0.006368526,0.008791413,0.002054665,0.006108149,0.007382216,0.009212852,0.008809577,0.004566717,0.000972772,0.004733816,0.003441584,0.00274524,96,34,-936,58.90749905,0.010016155,0.030106531,0.697576737,1
0.001647956,0.002734605,0.003625068,0.001050409,0.004838147,0.005153134,0.001856131,0.007719891,0.002718801,0.00965188,0.006573515,0.002038747,0.000210082,0.00450327,0.003706812,0.001713351,0.005048501,0.007944414,0.010023106,0.005361035,0.013312262,0.017525886,0.00341951,0.016628883,0.002041744,0.003039564,0.002573951,0.001707302,0.002573297,0.013128065,0.016693624,0.007211444,0.002175041,0.005939619,0.006573515,0.002594768,0.005939619,0.01519782,0.001930463,0.008157112,0.006573515,0.009330572,0.007906267,0.004014986,0.001112044,0.004363106,0.006584578,0.000947139,0.000630245,0.002358856,0.000556022,0.001285014,0.004932153,0.011377657,0.002276403,0.008304087,0.005930899,0.007777711,0.010760163,0.005682834,0.000856676,0.004589101,0.003977984,0.003055586,-161,27,-459,62.49319543,-0.081881533,-0.09724238,0.600174216,1
0.012422114,0.007441571,0.007733966,0.007843546,0.008494839,0.006333729,0.001171835,0.006092271,0.009332056,0.006626931,0.00490649,0.005326041,0.005076581,0.005975561,0.006939993,0.006550777,0.008861193,0.00607664,0.010667742,0.005928876,0.00925519,0.006295409,0.001592253,0.008050006,0.00139408,0.001013252,0.001523455,0.001073745,0.004084856,0.006644827,0.007247781,0.007064717,0.008878277,0.00418224,0.004531688,0.006112843,0.006344074,0.004673366,0.001173235,0.004315631,0.005673128,0.003257041,0.002266247,0.003024267,0.00316738,0.003716811,0.004894768,0.004495005,0.005122316,0.003944804,0.003369124,0.004732412,0.008123028,0.007478408,0.001135692,0.006993356,0.007081214,0.005224184,0.005524095,0.007134275,0.004872286,0.00704093,0.006000214,0.009526664,660,932,1680,45.01779359,-0.017918314,0.085868393,1.221343874,1
0.001476119,0.00237699,0.005744818,0.000984305,0.004348153,0.004674977,0.002813608,0.002068564,0.008092701,0.016728177,0.012725143,0.002349745,0.000289501,0.001536648,0.002349745,0.000708321,0.00388435,0.004319916,0.016165455,0.001654851,0.008462301,0.009660559,0.005235807,0.00940733,0.003529799,0.006911265,0.007537399,0.001777621,0.001536648,0.006090643,0.015789456,0.00246936,0.004895584,0.005473746,0.016305437,0.001941093,0.011305587,0.012408862,0.009754281,0.012286497,0.012250646,0.013168279,0.006464464,0.003009853,0.000664058,0.002457299,0.004559042,0.001096365,0.000521102,0.00130024,0.00107271,0.00035416,0.002659582,0.005005182,0.001568489,0.002650045,0.005414629,0.008208426,0.008144308,0.001879483,0.000826374,0.001686392,0.001670652,0.000962451,1158,-96,-2266,67.01201201,0.140488461,0.241693218,0.492269774,1
